LATITUDE,LONGITUDE,PARCELNO,SALE_PRC,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,avno60plus,month_sold,structure_quality
25.664649887399996,-80.4549699736,3059080100500,391000.0,7096,3181,1280,7864.9,52246.5,41626.8,95417.8,47379.1,22018.5,22,0,3,4
25.8514428651,-80.1752505701,132080090270,420000.0,5555,1565,0,4070.8,18512.6,326.1,27723.2,26516.6,10578.8,21,0,8,4
25.5398529241,-80.38677422399999,3069240001921,360000.0,46871,2400,194,11110.2,18526.1,10559.4,107067.5,59032.3,3600.5,17,0,6,4
25.821264482199997,-80.38066213350001,3530190022210,465000.0,4151,2253,3309,8771.4,57951.2,20335.1,63908.4,47818.3,1899.8,19,0,4,5
25.916466366999998,-80.17142323819999,722170181250,245000.0,4500,1318,1562,3212.8,16424.2,2745.2,51242.3,47633.0,10676.0,21,0,12,4
25.5948549502,-80.3910734086,3069010210310,295000.0,7505,1871,42034,8270.3,27070.5,10389.4,92871.6,42503.6,5072.5,25,0,11,2
25.7193346772,-80.2589616679,141290100070,614300.0,6000,1333,21388,2661.8,3781.9,2340.7,30113.1,10960.6,18986.8,51,0,3,5
25.5928182888,-80.4049899732,3069020260660,449500.0,17884,3258,65262,8026.7,31656.4,12812.5,96626.4,45930.9,9582.5,9,0,9,2
25.630922144,-80.4232206503,3059220081040,245000.0,4693,1576,0,809.0,38682.0,25939.9,92533.7,41739.7,12611.7,30,0,5,4
25.5669542196,-80.334609845,3660160060850,215000.0,4080,1260,0,13859.1,9008.9,7459.6,89376.7,44650.4,9249.7,9,0,3,4
25.5961961936,-80.338081218,3660040300050,334500.0,14810,1830,27322,11852.2,9550.4,3332.7,81141.6,34409.2,10245.8,38,0,8,4
25.6207922661,-80.4170246971,3059270230710,267500.0,4605,1543,2280,1317.6,36037.2,22320.9,93051.0,42017.8,11527.0,19,0,5,4
25.634578258,-80.40531019,3059230220360,265000.0,5000,1844,0,221.1,33337.4,22130.9,86953.8,36004.1,6649.7,14,0,3,4
25.6315744153,-80.4458436493,3059210131280,313500.0,4066,1963,1139,2426.4,46028.0,32288.2,98596.2,48225.9,20023.8,20,0,8,4
25.6374648478,-80.4425871983,3059210100290,439000.0,8500,2599,32034,289.7,45438.4,32608.2,96537.6,46352.1,18867.7,19,0,10,4
25.8228700916,-80.1955475172,131240120300,295000.0,6000,1584,1210,2288.5,24650.8,3627.9,16788.5,16788.5,3481.2,69,0,10,2
25.8599267189,-80.1733879607,1132050010200,1100000.0,10000,3036,37323,3428.2,17864.4,347.7,30850.1,28807.5,11363.9,3,0,10,5
25.9122083545,-80.2388321824,3421150081680,135000.0,6000,1035,1155,1646.3,38526.8,1320.0,51496.1,51496.1,5148.3,36,0,5,4
25.871614932800004,-80.33762736060001,420341450790,225000.0,2730,899,2878,2627.8,61358.1,1734.5,58817.8,51375.4,4764.6,18,0,12,5
25.8771746375,-80.2172177808,3021350100580,209900.0,7950,1562,795,10370.0,31814.4,5651.8,37354.1,37354.1,2714.0,11,0,6,4
25.5625749624,-80.356923503,3060170021350,285000.0,7500,1657,200,7205.9,14166.0,1067.4,94710.6,47880.1,1884.9,0,0,11,4
25.7146643859,-80.4284476907,3049220310400,279000.0,5000,1390,608,18624.7,53981.2,35094.0,80763.6,39012.7,14723.6,26,0,6,4
25.6270569064,-80.32400705479999,3350270240070,579000.0,15851,2962,32060,5426.2,7187.1,7180.9,69394.3,22510.7,18021.9,36,0,7,4
25.5115610694,-80.4232221618,3069340213670,260000.0,5050,2696,0,21963.2,27702.5,21196.9,122636.0,73717.1,2894.4,9,0,6,2
25.4737126138,-80.4435543919,1079160150570,210000.0,4000,1841,0,11745.3,33954.6,22650.5,137636.5,89002.1,300.7,4,0,1,2
25.6715162152,-80.3818015107,3050070160270,450000.0,11100,2467,0,3895.0,32109.1,29831.1,72997.2,23292.2,2113.0,40,0,12,4
25.9144693931,-80.241836482,3421150070580,195000.0,6000,1625,1422,2841.2,39566.3,463.5,52577.9,52577.9,4291.4,36,0,8,4
25.813985101999997,-80.3040588974,530240022310,392300.0,10680,2556,33885,885.5,37883.7,1702.0,39032.5,27703.2,5649.6,61,1,3,5
25.838484976100002,-80.1834698585,132180050150,257500.0,15500,1556,544,1520.0,21100.6,1067.7,22586.0,22586.0,7336.3,81,0,2,4
25.633289253,-80.4503143936,3059200102540,375000.0,6029,3283,0,1755.0,47589.0,33780.5,99504.3,49293.8,21459.3,13,0,7,4
25.4679846694,-80.4222821939,1079150120750,260000.0,6269,2578,0,18592.7,26963.4,15627.4,135260.6,87735.1,5960.7,2,0,4,2
25.8999274518,-80.1987631521,3021240090220,201000.0,18597,1237,0,9706.7,25139.0,1093.4,44791.3,44791.3,3505.7,70,0,4,4
25.636080090900002,-80.4455265614,3059210330770,345000.0,5026,2129,29604,790.7,46263.3,33210.8,97632.0,47443.2,19846.3,14,0,9,4
